Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value	
Current outdoor temperature (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	s16	0	0	0
Average temperature (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	s16	0	0	0
External supply line (BT25)	MODBUS_INPUT_REGISTER	39	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	60	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	61	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	62	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	63	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	64	10	°C	s16	0	0	0
-	MODBUS_INPUT_REGISTER	65	10	°C	s16	0	0	0
Return line (BT71)	MODBUS_INPUT_REGISTER	88	10	°C	s16	0	0	0
Degree minutes	MODBUS_HOLDING_REGISTER	11	10	DM	s32	-30000	30000	0
Injection (EB101-BT81)	MODBUS_INPUT_REGISTER	552	10	°C	s16	0	0	0
Evaporator (EB101-BT84)	MODBUS_INPUT_REGISTER	555	10	°C	s16	0	0	0
Calculated supply climate system 1	MODBUS_INPUT_REGISTER	1017	10	°C	s16	0	0	0
Operating mode internal add. heat	MODBUS_INPUT_REGISTER	1029	1		u8	0	0	0
External heating medium pump (GP10) status	MODBUS_INPUT_REGISTER	1066	1		u8	0	0	0
Return line (EB101-BT3)	MODBUS_INPUT_REGISTER	1475	10	°C	s16	0	0	0
Condenser sensor, supply line (EB101-BT12)	MODBUS_INPUT_REGISTER	1478	10	°C	s16	0	0	0
Discharge (EB101-BT14)	MODBUS_INPUT_REGISTER	1479	10	°C	s16	0	0	0
Liquid line (EB101-BT15)	MODBUS_INPUT_REGISTER	1480	10	°C	s16	0	0	0
Suction gas (EB101-BT17)	MODBUS_INPUT_REGISTER	1481	10	°C	s16	0	0	0
Outdoor temperature (EB101-BT28)	MODBUS_INPUT_REGISTER	1621	10	°C	s16	0	0	0
Evaporator (EB101-BT16)	MODBUS_INPUT_REGISTER	1622	10	°C	s16	0	0	0
Charge pump speed (EB101-GP12)	MODBUS_INPUT_REGISTER	1636	1	%	u8	0	0	0
Low pressure (EB101-BP8)	MODBUS_INPUT_REGISTER	1802	10	bar	s16	0	0	0
Current compressor frequency (EB101)	MODBUS_INPUT_REGISTER	1803	10	Hz	s16	0	0	0
Protection mode (EB101)	MODBUS_INPUT_REGISTER	1804	1		u16	0	0	0
Requested compressor frequency (EB101)	MODBUS_INPUT_REGISTER	1854	1	Hz	u8	0	0	0
Evaporator 2 (EB101-EP14-BT16)	MODBUS_INPUT_REGISTER	1966	10	°C	s16	0	0	0
Alarm number	MODBUS_INPUT_REGISTER	1975	1		s16	0	0	0
id:27814	MODBUS_INPUT_REGISTER	46	10	A	u32	0	0	0
id:27815	MODBUS_INPUT_REGISTER	48	10	A	u32	0	0	0
id:27816	MODBUS_INPUT_REGISTER	50	10	A	u32	0	0	0
